Sale_ID,Date,Branch,Region,Product_ID,Product,Product_Category,Customer,Payment_Method,Unit_Price,Quantity,Discount,Total_Sales,Cost,Profit
S0020,2026-07-30,Kandy,Central,P003,Fruit Juice,Beverages,Customer_012,Mobile Wallet,267.03,4.0,0.097,964.51,800.4,164.11
S0021,2026-07-10,Kurunegala,North Western,P004,Mineral Water,Beverages,Customer_053,Mobile Wallet,429.27,6.0,,2467.44,1746.87,720.57
S0022,2026-07-23,Kurunegala,North Western,P014,Chips,Snacks,Customer_095,Online,149.33,2.0,,253.56,186.03,67.53
S0023,2026-07-21,Colombo,Western,P007,Dhal,Groceries,Customer_053,Mobile Wallet,1283.3,4.0,,4142.49,3111.95,1030.54
S0024,2026-07-17,Colombo,Western,P002,Pepsi,Beverages,Customer_021,Cash,573.22,2.0,0.064,1073.07,881.92,191.15
S0025,2026-07-02,Colombo,Western,P014,Chips,Snacks,Customer_099,Cash,889.06,6.0,0.074,4939.62,3812.42,1127.2
S0026,2026-07-15,Colombo,Western,P014,Chips,Snacks,Customer_039,Cash,462.47,7.0,0.003,3227.58,2407.05,820.53
S0027,2026-07-12,Colombo,Western,P020,Soap,Household,Customer_051,Online,1090.21,2.0,0.068,2032.15,1700.12,332.03
S0028,2026-07-06,Jaffna,Northern,P011,Cheese,Dairy,Customer_003,Cash,793.81,3.0,0.196,1914.67,1408.36,506.31
S0029,2026-07-27,Galle,Southern,P005,Rice,Groceries,Customer_057,Mobile Wallet,654.31,7.0,0.013,4520.63,3560.85,959.78
S0030,2026-07-27,Kurunegala,North Western,P005,Rice,Groceries,Customer_011,Cash,401.0,5.0,0.17,1664.15,1415.56,248.59
S0031,2026-07-03,Colombo,Western,P005,Rice,Groceries,Customer_072,Card,615.09,,0.072,4566.43,3975.78,590.65
S0032,2026-07-01,Colombo,Western,P019,Tissue,Household,Customer_060,Online,501.34,10.0,0.02,4913.13,3815.42,1097.71
S0033,2026-07-23,Jaffna,Northern,P012,Butter,Dairy,Customer_003,Online,1192.21,2.0,0.18,1955.22,1352.33,602.89
S0034,2026-07-13,Jaffna,Northern,P009,Milk,Dairy,Customer_058,Cash,784.93,8.0,0.041,6021.98,4307.5,1714.48
S0035,2026-07-09,Kandy,Central,P019,Tissue,Household,Customer_010,Online,730.01,5.0,0.061,3427.4,2794.61,632.79
S0036,2026-07-11,Galle,Southern,P010,Yogurt,Dairy,Customer_091,Card,1116.28,6.0,0.046,6389.59,5032.76,1356.83
S0037,2026-07-12,Galle,Southern,P014,Chips,Snacks,Customer_088,Card,478.31,3.0,0.092,1302.92,896.19,406.73
S0038,2026-07-07,Kurunegala,North Western,P010,Yogurt,Dairy,Customer_060,Card,1112.47,8.0,0.095,8054.28,6558.02,1496.26
S0039,2026-07-15,Colombo,Western,P010,Yogurt,Dairy,Customer_060,Online,585.54,8.0,0.153,3967.62,3096.21,871.41
S0040,2026-07-03,Kurunegala,North Western,P008,Cooking Oil,Groceries,Customer_018,Cash,1542.65,8.0,0.11,10983.67,8004.88,2978.79
S0041,2026-07-01,Colombo,Western,P005,Rice,Groceries,Customer_052,Mobile Wallet,1403.72,2.0,0.132,2436.86,1768.73,668.13
S0042,2026-07-01,Colombo,Western,P010,Yogurt,Dairy,Customer_009,Card,359.81,3.0,0.062,1012.51,709.99,302.52
S0043,2026-07-24,Galle,Southern,P018,Dish Wash,Household,Customer_009,Online,1211.37,8.0,0.172,8024.11,5860.5,2163.61
S0044,2026-07-21,Colombo,Western,P008,Cooking Oil,Groceries,Customer_048,Card,1527.15,2.0,0.092,2773.3,2146.81,626.49
S0045,2026-07-05,Kurunegala,North Western,P016,Nuts,Snacks,Customer_002,Mobile Wallet,205.48,2.0,0.103,368.63,257.8,110.83
S0046,2026-07-07,Kandy,Central,P004,Mineral Water,Beverages,Customer_083,Cash,159.04,5.0,0.141,683.08,591.44,91.64
S0047,2026-07-28,Kurunegala,North Western,P002,Pepsi,Beverages,Customer_082,Cash,575.86,3.0,0.065,1615.29,1383.26,232.03
S0048,2026-07-06,Kandy,Central,P020,Soap,Household,Customer_049,Mobile Wallet,1467.72,9.0,0.035,12747.15,8979.08,3768.07
S0049,2026-07-22,Kandy,Central,P017,Detergent,Household,Customer_061,Mobile Wallet,604.17,7.0,0.159,3556.75,3113.29,443.46
S0050,2026-07-27,Kurunegala,North Western,P018,Dish Wash,Household,Customer_036,Online,428.14,6.0,0.004,2558.56,2085.87,472.69
S0051,2026-07-07,Kandy,Central,P007,Dhal,Groceries,Customer_010,Card,,9.0,0.048,3791.85,2650.53,1141.32
S0052,2026-07-16,Colombo,Western,P008,Cooking Oil,Groceries,Customer_047,Card,220.03,3.0,0.122,579.56,451.89,127.67
S0053,2026-07-28,Kurunegala,North Western,P014,Chips,Snacks,Customer_089,Online,478.98,10.0,0.138,4128.81,3613.02,515.79
S0054,2026-07-06,Colombo,Western,P012,Butter,Dairy,Customer_082,Online,435.46,9.0,0.028,3809.4,2816.16,993.24
S0055,2026-07-28,Galle,Southern,P013,Biscuits,Snacks,Customer_019,Online,542.48,7.0,0.03,3683.44,2533.23,1150.21
S0056,2026-07-21,Galle,Southern,P011,Cheese,Dairy,Customer_089,Card,762.92,1.0,0.096,689.68,529.18,160.5
S0057,2026-07-13,Colombo,Western,P005,Rice,Groceries,Customer_049,Mobile Wallet,805.34,3.0,0.115,2138.18,1590.12,548.06
S0058,2026-07-03,Galle,Southern,P020,Soap,Household,Customer_052,Online,1094.11,6.0,0.197,5271.42,4575.08,696.34
S0059,2026-07-08,Colombo,Western,P011,Cheese,Dairy,Customer_004,Online,314.77,1.0,0.046,300.29,210.69,89.6
S0060,2026-07-25,Galle,Southern,P018,Dish Wash,Household,Customer_022,Mobile Wallet,617.15,8.0,0.116,4364.48,3494.35,870.13
S0061,2026-07-19,Galle,Southern,P015,Chocolate,Snacks,Customer_051,Online,531.34,2.0,0.138,916.03,656.65,259.38
S0062,2026-07-02,Colombo,Western,P011,Cheese,Dairy,Customer_042,Cash,847.45,8.0,0.181,5552.49,4538.36,1014.13
S0063,2026-07-10,Colombo,Western,P011,Cheese,Dairy,Customer_038,Online,301.4,1.0,0.061,283.01,197.05,85.96
S0064,2026-07-11,Jaffna,Northern,P011,Cheese,Dairy,Customer_075,Mobile Wallet,690.61,10.0,0.061,6484.83,5296.23,1188.6
S0065,2026-07-06,Colombo,Western,P010,Yogurt,Dairy,Customer_074,Mobile Wallet,1121.62,6.0,0.102,6043.29,4734.32,1308.97
S0066,2026-07-02,Kandy,Central,P004,Mineral Water,Beverages,Customer_043,Online,448.18,7.0,0.042,3005.5,2369.38,636.12
S0067,2026-07-06,Colombo,Western,P018,Dish Wash,Household,Customer_010,Cash,623.5,10.0,0.154,5274.81,4415.66,859.15
S0068,2026-07-30,Jaffna,Northern,P008,Cooking Oil,Groceries,Customer_026,Cash,957.74,3.0,0.073,2663.47,2266.93,396.54
S0069,2026-07-20,Jaffna,Northern,P008,Cooking Oil,Groceries,Customer_007,Mobile Wallet,1120.99,9.0,0.097,9110.29,7825.01,1285.28
S0070,2026-07-09,Jaffna,Northern,P001,Coca Cola,Beverages,Customer_056,Mobile Wallet,640.93,7.0,0.107,4006.45,2844.88,1161.57
S0071,2026-07-11,Colombo,Western,P010,Yogurt,Dairy,Customer_050,Online,375.02,,0.104,2688.14,2153.55,534.59
S0072,2026-07-11,Kurunegala,North Western,P002,Pepsi,Beverages,Customer_032,Mobile Wallet,123.59,3.0,0.01,367.06,304.65,62.41
S0073,2026-07-13,Colombo,Western,P012,Butter,Dairy,Customer_026,Card,464.11,6.0,0.143,2386.45,2066.64,319.81
S0074,2026-07-08,Colombo,Western,P007,Dhal,Groceries,Customer_075,Cash,1530.5,9.0,0.142,11818.52,8277.32,3541.2
S0075,2026-07-07,Kandy,Central,P002,Pepsi,Beverages,Customer_079,Card,301.65,4.0,0.199,966.49,683.18,283.31
S0076,2026-07-17,Colombo,Western,P001,Coca Cola,Beverages,Customer_010,Cash,404.21,4.0,0.069,1505.28,1294.31,210.97
S0077,2026-07-03,Kurunegala,North Western,P007,Dhal,Groceries,Customer_020,Cash,1175.91,10.0,0.148,10018.75,6833.54,3185.21
S0078,2026-07-29,Kurunegala,North Western,P018,Dish Wash,Household,Customer_087,Online,317.0,10.0,0.045,3027.35,2622.92,404.43
S0079,2026-07-01,Kandy,Central,P005,Rice,Groceries,Customer_030,Cash,786.75,9.0,0.105,6337.27,5564.24,773.03
S0080,2026-07-23,Colombo,Western,P012,Butter,Dairy,Customer_077,Cash,1142.87,3.0,0.064,3209.18,2255.59,953.59
S0081,2026-07-06,Colombo,Western,P002,Pepsi,Beverages,Customer_066,Cash,404.72,3.0,0.167,1011.4,728.76,282.64
S0082,2026-07-04,Colombo,Western,P015,Chocolate,Snacks,Customer_046,Mobile Wallet,758.1,3.0,0.131,1976.37,1385.52,590.85
S0083,2026-07-25,Kurunegala,North Western,P010,Yogurt,Dairy,Customer_022,Mobile Wallet,1074.4,1.0,0.162,900.35,784.71,115.64
S0084,2026-07-14,Kurunegala,North Western,P009,Milk,Dairy,Customer_024,Cash,307.29,9.0,0.183,2259.5,1876.92,382.58
S0085,2026-07-03,Kandy,Central,P010,Yogurt,Dairy,Customer_089,Mobile Wallet,917.26,3.0,0.195,2215.18,1825.73,389.45
S0086,2026-07-31,Jaffna,Northern,P018,Dish Wash,Household,Customer_059,Mobile Wallet,946.46,8.0,0.122,6647.94,4902.85,1745.09
S0087,2026-07-01,Kandy,Central,P019,Tissue,Household,Customer_084,Card,816.13,3.0,0.097,2210.9,1612.06,598.84
S0088,2026-07-22,Jaffna,Northern,P005,Rice,Groceries,Customer_097,Online,805.29,7.0,0.073,5225.53,3986.54,1238.99
S0089,2026-07-29,Colombo,Western,P009,Milk,Dairy,Customer_043,Mobile Wallet,925.56,3.0,0.191,2246.33,1603.22,643.11
S0090,2026-07-14,Galle,Southern,P013,Biscuits,Snacks,Customer_038,Mobile Wallet,872.33,7.0,0.14,5251.43,4269.08,982.35
S0091,2026-07-09,Galle,Southern,P017,Detergent,Household,Customer_028,Card,,4.0,0.059,2690.24,1963.87,726.37
S0092,2026-07-01,Colombo,Western,P006,Sugar,Groceries,Customer_083,Cash,1275.84,9.0,0.016,11298.84,9145.02,2153.82
S0093,2026-07-12,Galle,Southern,P014,Chips,Snacks,Customer_060,Online,605.3,3.0,0.065,1697.87,1290.62,407.25
S0094,2026-07-09,Galle,Southern,P004,Mineral Water,Beverages,Customer_042,Card,542.76,8.0,0.009,4303.0,3347.15,955.85
S0095,2026-07-22,Kandy,Central,P010,Yogurt,Dairy,Customer_021,Cash,573.81,3.0,0.139,1482.15,1199.32,282.83
S0096,2026-07-08,Colombo,Western,P013,Biscuits,Snacks,Customer_095,Cash,568.21,3.0,0.2,1363.7,980.66,383.04
S0097,2026-07-04,Galle,Southern,P002,Pepsi,Beverages,Customer_088,Cash,166.13,1.0,0.132,144.2,106.75,37.45
S0098,2026-07-01,Galle,Southern,P005,Rice,Groceries,Customer_035,Cash,1082.62,9.0,0.136,8418.45,6356.2,2062.25
S0099,2026-07-11,Kurunegala,North Western,P015,Chocolate,Snacks,Customer_081,Cash,313.97,6.0,0.102,1691.67,1201.75,489.92
S0100,2026-07-27,Jaffna,Northern,P015,Chocolate,Snacks,Customer_019,Cash,883.88,9.0,0.167,6626.45,5089.9,1536.55
S0101,2026-07-02,Kandy,Central,P003,Fruit Juice,Beverages,Customer_030,Online,420.46,2.0,0.023,821.58,588.92,232.66
S0102,2026-07-01,Colombo,Western,P018,Dish Wash,Household,Customer_005,Cash,379.32,5.0,0.061,1780.91,1366.06,414.85
S0103,2026-07-26,Colombo,Western,P008,Cooking Oil,Groceries,Customer_099,Mobile Wallet,1114.5,8.0,0.077,8229.47,5862.27,2367.2
S0104,2026-07-28,Galle,Southern,P002,Pepsi,Beverages,Customer_033,Card,208.56,6.0,0.127,1092.44,878.9,213.54
S0105,2026-07-22,Colombo,Western,P003,Fruit Juice,Beverages,Customer_061,Cash,361.71,8.0,0.168,2407.54,1933.37,474.17
S0106,2026-07-20,Galle,Southern,P001,Coca Cola,Beverages,Customer_035,Online,238.88,9.0,0.002,2145.62,1830.87,314.75
S0107,2026-07-06,Kurunegala,North Western,P002,Pepsi,Beverages,Customer_054,Online,313.92,4.0,0.186,1022.12,863.47,158.65
S0108,2026-07-17,Kurunegala,North Western,P014,Chips,Snacks,Customer_050,Mobile Wallet,353.65,10.0,0.046,3373.82,2836.34,537.48
S0109,2026-07-18,Kandy,Central,P014,Chips,Snacks,Customer_001,Cash,609.92,7.0,0.143,3658.91,3094.06,564.85
S0110,2026-07-12,Kurunegala,North Western,P015,Chocolate,Snacks,Customer_032,Online,262.92,4.0,0.022,1028.54,828.76,199.78
S0111,2026-07-17,Kandy,Central,P009,Milk,Dairy,Customer_014,Mobile Wallet,1028.98,,0.007,8174.22,5726.86,2447.36
S0112,2026-07-03,Galle,Southern,P013,Biscuits,Snacks,Customer_090,Cash,892.54,10.0,0.184,7283.13,6054.12,1229.01
S0113,2026-07-23,Kandy,Central,P018,Dish Wash,Household,Customer_004,Online,1013.07,6.0,0.125,5318.62,4265.72,1052.9
S0114,2026-07-09,Jaffna,Northern,P008,Cooking Oil,Groceries,Customer_098,Cash,731.56,10.0,0.108,6525.52,5421.33,1104.19
S0115,2026-07-27,Colombo,Western,P011,Cheese,Dairy,Customer_034,Mobile Wallet,1100.5,5.0,0.066,5139.34,4174.16,965.18
S0116,2026-07-15,Kurunegala,North Western,P011,Cheese,Dairy,Customer_064,Card,426.18,6.0,0.104,2291.14,1713.62,577.52
S0117,2026-07-22,Kandy,Central,P005,Rice,Groceries,Customer_072,Mobile Wallet,1762.76,3.0,0.159,4447.44,3276.72,1170.72
S0118,2026-07-24,Kandy,Central,P009,Milk,Dairy,Customer_041,Online,271.02,5.0,0.1,1219.59,942.9,276.69
S0119,2026-07-22,Jaffna,Northern,P002,Pepsi,Beverages,Customer_030,Online,233.1,9.0,0.194,1690.91,1292.57,398.34
S0120,2026-07-23,Colombo,Western,P017,Detergent,Household,Customer_043,Card,620.21,6.0,0.036,3587.29,3124.1,463.19
S0121,2026-07-23,Kurunegala,North Western,P010,Yogurt,Dairy,Customer_044,Mobile Wallet,594.29,9.0,0.088,4877.93,4118.18,759.75
S0122,2026-07-04,Kandy,Central,P002,Pepsi,Beverages,Customer_046,Mobile Wallet,192.5,2.0,0.108,343.42,251.32,92.1
S0123,2026-07-31,Colombo,Western,P018,Dish Wash,Household,Customer_007,Mobile Wallet,816.99,6.0,0.131,4259.79,3055.63,1204.16
S0124,2026-07-01,Kurunegala,North Western,P008,Cooking Oil,Groceries,Customer_073,Online,1259.51,9.0,0.102,10179.36,8118.43,2060.93
S0125,2026-07-13,Colombo,Western,P012,Butter,Dairy,Customer_010,Online,1082.89,2.0,0.149,1843.08,1307.16,535.92
S0126,2026-07-29,Galle,Southern,P020,Soap,Household,Customer_093,Mobile Wallet,1399.47,6.0,0.093,7615.92,6587.67,1028.25
S0127,2026-07-24,Jaffna,Northern,P002,Pepsi,Beverages,Customer_092,Cash,321.3,8.0,0.101,2310.79,1579.14,731.65
S0128,2026-07-26,Colombo,Western,P006,Sugar,Groceries,Customer_073,Card,907.29,9.0,0.133,7079.58,6053.16,1026.42
S0129,2026-07-13,Galle,Southern,P014,Chips,Snacks,Customer_062,Mobile Wallet,700.56,8.0,0.073,5195.35,4132.36,1062.99
S0130,2026-07-23,Jaffna,Northern,P014,Chips,Snacks,Customer_012,Mobile Wallet,414.3,8.0,0.05,3148.68,2527.1,621.58
S0131,2026-07-28,Jaffna,Northern,P008,Cooking Oil,Groceries,Customer_001,Online,1718.57,1.0,0.193,1386.89,1123.26,263.63
S0132,2026-07-19,Galle,Southern,P010,Yogurt,Dairy,Customer_008,Card,409.94,7.0,0.038,2760.54,1974.0,786.54
S0133,2026-07-14,Kandy,Central,P007,Dhal,Groceries,Customer_031,Online,1690.63,6.0,0.068,9454.0,6819.5,2634.5
S0134,2026-07-02,Kurunegala,North Western,P007,Dhal,Groceries,Customer_080,Online,761.46,2.0,0.172,1260.98,865.69,395.29
S0135,2026-07-06,Galle,Southern,P012,Butter,Dairy,Customer_091,Online,903.86,10.0,0.076,8351.67,5744.61,2607.06
S0136,2026-07-09,Colombo,Western,P008,Cooking Oil,Groceries,Customer_049,Cash,319.67,10.0,0.012,3158.34,2196.26,962.08
S0137,2026-07-02,Kurunegala,North Western,P016,Nuts,Snacks,Customer_002,Online,385.19,3.0,0.108,1030.77,817.44,213.33
S0138,2026-07-03,Colombo,Western,P011,Cheese,Dairy,Customer_081,Card,1131.65,2.0,0.107,2021.13,1731.99,289.14
S0139,2026-07-24,Colombo,Western,P010,Yogurt,Dairy,Customer_034,Cash,555.71,7.0,0.079,3582.66,2650.57,932.09
S0140,2026-07-15,Colombo,Western,P010,Yogurt,Dairy,Customer_010,Card,834.99,1.0,0.176,688.03,507.6,180.43
S0141,2026-07-18,Kandy,Central,P015,Chocolate,Snacks,Customer_032,Cash,784.56,4.0,0.198,2516.87,2200.11,316.76
S0142,2026-07-12,Kandy,Central,P020,Soap,Household,Customer_045,Cash,1441.76,4.0,0.189,4677.07,3216.71,1460.36
S0143,2026-07-24,Colombo,Western,P016,Nuts,Snacks,Customer_063,Card,497.06,5.0,0.155,2100.08,1810.12,289.96
S0144,2026-07-15,Colombo,Western,P019,Tissue,Household,Customer_023,Online,652.25,6.0,0.031,3792.18,3231.49,560.69
S0145,2026-07-18,Kandy,Central,P015,Chocolate,Snacks,Customer_003,Mobile Wallet,667.38,8.0,0.041,5120.14,4032.37,1087.77
S0146,2026-07-06,Colombo,Western,P010,Yogurt,Dairy,Customer_001,Cash,828.21,7.0,0.168,4823.5,3990.87,832.63
S0147,2026-07-14,Colombo,Western,P003,Fruit Juice,Beverages,Customer_078,Cash,541.15,10.0,0.089,4929.88,3354.19,1575.69
S0148,2026-07-26,Galle,Southern,P010,Yogurt,Dairy,Customer_098,Card,835.25,6.0,0.16,4209.66,3397.96,811.7
S0149,2026-07-11,Colombo,Western,P007,Dhal,Groceries,Customer_057,Cash,1688.34,7.0,0.046,11274.73,7787.08,3487.65
S0150,2026-07-14,Kandy,Central,P004,Mineral Water,Beverages,Customer_001,Cash,635.39,6.0,0.081,3503.54,2792.37,711.17
S0151,2026-07-29,Jaffna,Northern,P008,Cooking Oil,Groceries,Customer_021,Cash,247.34,6.0,0.053,1405.39,1101.3,304.09
S0152,2026-07-20,Jaffna,Northern,P018,Dish Wash,Household,Customer_011,Cash,170.45,4.0,0.122,598.62,521.83,76.79
S0153,2026-07-10,Colombo,Western,P016,Nuts,Snacks,Customer_024,Cash,856.94,5.0,0.015,4220.43,3558.28,662.15
S0154,2026-07-12,Colombo,Western,P014,Chips,Snacks,Customer_064,Cash,877.27,3.0,0.15,2237.04,1962.64,274.4
S0155,2026-07-12,Kurunegala,North Western,P002,Pepsi,Beverages,Customer_043,Online,126.29,5.0,0.12,555.68,412.77,142.91
S0156,2026-07-04,Colombo,Western,P005,Rice,Groceries,Customer_098,Online,444.59,9.0,0.047,3813.25,2733.08,1080.17
S0157,2026-07-14,Galle,Southern,P016,Nuts,Snacks,Customer_075,Mobile Wallet,202.76,4.0,0.057,764.81,574.55,190.26
S0158,2026-07-18,Galle,Southern,P018,Dish Wash,Household,Customer_048,Online,1331.71,2.0,0.122,2338.48,1873.61,464.87
S0159,2026-07-04,Galle,Southern,P013,Biscuits,Snacks,Customer_073,Mobile Wallet,324.22,6.0,0.011,1923.92,1591.32,332.6
S0160,2026-07-05,Galle,Southern,P002,Pepsi,Beverages,Customer_045,Online,265.54,1.0,0.109,236.6,192.89,43.71
S0161,2026-07-16,Jaffna,Northern,P008,Cooking Oil,Groceries,Customer_022,Mobile Wallet,1128.51,5.0,0.054,5337.85,3875.15,1462.7
S0162,2026-07-07,Kandy,Central,P017,Detergent,Household,Customer_090,Online,979.67,8.0,0.088,7147.67,6260.49,887.18
S0163,2026-07-23,Jaffna,Northern,P009,Milk,Dairy,Customer_082,Card,543.28,8.0,0.064,4068.08,3542.97,525.11
S0164,2026-07-27,Kandy,Central,P009,Milk,Dairy,Customer_046,Mobile Wallet,918.25,5.0,0.116,4058.66,3514.16,544.5
S0165,2026-07-06,Kurunegala,North Western,P009,Milk,Dairy,Customer_011,Card,1023.46,10.0,0.141,8791.52,6506.84,2284.68
S0166,2026-07-19,Jaffna,Northern,P008,Cooking Oil,Groceries,Customer_018,Mobile Wallet,1201.33,10.0,0.151,10199.29,6970.57,3228.72
S0167,2026-07-07,Kurunegala,North Western,P007,Dhal,Groceries,Customer_020,Cash,721.4,5.0,0.109,3213.84,2447.08,766.76
S0168,2026-07-01,Kurunegala,North Western,P008,Cooking Oil,Groceries,Customer_007,Card,744.05,2.0,0.161,1248.52,1009.64,238.88
S0169,2026-07-24,Galle,Southern,P004,Mineral Water,Beverages,Customer_070,Online,340.87,7.0,0.048,2271.56,1985.17,286.39
S0170,2026-07-05,Galle,Southern,P002,Pepsi,Beverages,Customer_019,Mobile Wallet,507.57,8.0,0.094,3678.87,2619.24,1059.63
S0171,2026-07-22,Colombo,Western,P016,Nuts,Snacks,Customer_064,Cash,790.05,7.0,0.013,5458.46,4083.11,1375.35
S0172,2026-07-25,Colombo,Western,P012,Butter,Dairy,Customer_098,Online,256.93,1.0,0.126,224.56,163.54,61.02
S0173,2026-07-21,Kandy,Central,P003,Fruit Juice,Beverages,Customer_089,Cash,520.31,3.0,0.192,1261.23,948.98,312.25
S0174,2026-07-19,Kandy,Central,P010,Yogurt,Dairy,Customer_049,Mobile Wallet,513.36,7.0,0.068,3349.16,2670.63,678.53
S0175,2026-07-17,Colombo,Western,P002,Pepsi,Beverages,Customer_090,Cash,130.1,4.0,0.016,512.07,370.21,141.86
S0176,2026-07-15,Galle,Southern,P010,Yogurt,Dairy,Customer_060,Card,234.04,9.0,0.192,1701.94,1487.68,214.26
S0177,2026-07-31,Jaffna,Northern,P010,Yogurt,Dairy,Customer_037,Online,1167.16,2.0,0.051,2215.27,1816.43,398.84
S0178,2026-07-22,Colombo,Western,P012,Butter,Dairy,Customer_025,Online,814.75,1.0,0.082,747.94,528.47,219.47
S0179,2026-07-28,Jaffna,Northern,P010,Yogurt,Dairy,Customer_093,Mobile Wallet,794.22,1.0,0.151,674.29,587.71,86.58
S0180,2026-07-13,Kurunegala,North Western,P018,Dish Wash,Household,Customer_064,Online,1148.21,6.0,0.001,6882.37,4863.15,2019.22
S0181,2026-07-25,Galle,Southern,P004,Mineral Water,Beverages,Customer_024,Online,641.96,2.0,0.108,1145.26,991.05,154.21
S0182,2026-07-29,Colombo,Western,P016,Nuts,Snacks,Customer_075,Online,705.77,2.0,0.198,1132.06,931.55,200.51
S0183,2026-07-24,Jaffna,Northern,P009,Milk,Dairy,Customer_054,Mobile Wallet,1050.31,5.0,0.115,4647.62,4055.54,592.08
S0184,2026-07-06,Jaffna,Northern,P015,Chocolate,Snacks,Customer_003,Mobile Wallet,562.85,9.0,0.089,4614.81,4042.07,572.74
S0185,2026-07-05,Kurunegala,North Western,P004,Mineral Water,Beverages,Customer_023,Cash,171.33,6.0,0.023,1004.34,714.52,289.82
S0186,2026-07-06,Jaffna,Northern,P007,Dhal,Groceries,Customer_018,Online,976.93,2.0,0.011,1932.37,1388.0,544.37
S0187,2026-07-01,Kandy,Central,P003,Fruit Juice,Beverages,Customer_030,Mobile Wallet,434.1,4.0,0.142,1489.83,1044.93,444.9
S0188,2026-07-22,Colombo,Western,P011,Cheese,Dairy,Customer_046,Cash,603.6,6.0,0.118,3194.25,2655.19,539.06
S0189,2026-07-12,Colombo,Western,P005,Rice,Groceries,Customer_004,Cash,733.14,2.0,0.109,1306.46,1133.87,172.59
S0190,2026-07-16,Kandy,Central,P011,Cheese,Dairy,Customer_032,Online,744.93,4.0,0.128,2598.32,2003.83,594.49
S0191,2026-07-31,Galle,Southern,P012,Butter,Dairy,Customer_069,Mobile Wallet,1010.38,9.0,0.089,8284.11,7023.97,1260.14
S0192,2026-07-03,Colombo,Western,P009,Milk,Dairy,Customer_024,Card,208.01,8.0,0.025,1622.48,1426.43,196.05
S0193,2026-07-06,Colombo,Western,P004,Mineral Water,Beverages,Customer_038,Mobile Wallet,162.83,9.0,0.132,1272.03,957.85,314.18
S0194,2026-07-15,Galle,Southern,P010,Yogurt,Dairy,Customer_010,Card,601.6,4.0,0.023,2351.05,1826.18,524.87
S0195,2026-07-07,Kandy,Central,P010,Yogurt,Dairy,Customer_007,Cash,885.96,9.0,0.061,7487.25,6078.74,1408.51
S0196,2026-07-17,Colombo,Western,P001,Coca Cola,Beverages,Customer_080,Cash,430.97,9.0,0.016,3816.67,2850.58,966.09
S0197,2026-07-30,Kandy,Central,P015,Chocolate,Snacks,Customer_013,Mobile Wallet,702.42,3.0,0.005,2096.72,1632.48,464.24
S0198,2026-07-26,Colombo,Western,P016,Nuts,Snacks,Customer_038,Online,378.75,9.0,0.084,3122.41,2545.33,577.08
